City,Country,Country_code,URL
Vienna,Austria,AUT,http://data.insideairbnb.com/austria/vienna/vienna/2021-12-08/visualisations/listings.csv
Prague,Czech Republic,CZE,http://data.insideairbnb.com/czech-republic/prague/prague/2021-12-18/visualisations/listings.csv
Copenhagen,Denmark,DNK,http://data.insideairbnb.com/denmark/hovedstaden/copenhagen/2021-12-28/visualisations/listings.csv
Thessaloniki,Greece,GRC,http://data.insideairbnb.com/greece/central-macedonia/thessaloniki/2021-12-23/visualisations/listings.csv
Rome,Italy,ITA,http://data.insideairbnb.com/italy/lazio/rome/2021-12-08/visualisations/listings.csv
Venice,Italy,ITA,http://data.insideairbnb.com/italy/veneto/venice/2021-12-05/visualisations/listings.csv
Amsterdam,Netherlands,NLD,http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2021-12-05/visualisations/listings.csv
Barcelona,Spain,ESP,http://data.insideairbnb.com/spain/catalonia/barcelona/2021-12-07/visualisations/listings.csv
Madrid,Spain,ESP,http://data.insideairbnb.com/spain/comunidad-de-madrid/madrid/2021-12-08/visualisations/listings.csv
Valencia,Spain,ESP,http://data.insideairbnb.com/spain/vc/valencia/2021-12-18/visualisations/listings.csv
Vaud,Switzerland,CHE,http://data.insideairbnb.com/switzerland/vd/vaud/2021-12-04/visualisations/listings.csv
London,United Kingdom,GBR,http://data.insideairbnb.com/united-kingdom/england/london/2021-12-07/visualisations/listings.csv
Manchester,United Kingdom,GBR,http://data.insideairbnb.com/united-kingdom/england/greater-manchester/2021-12-23/visualisations/listings.csv
Antwerp,Belgium,BEL,http://data.insideairbnb.com/belgium/vlg/antwerp/2021-12-26/visualisations/listings.csv
Brussels,Belgium,BEL,http://data.insideairbnb.com/belgium/bru/brussels/2021-12-20/visualisations/listings.csv
Berlin,Germany,DEU,http://data.insideairbnb.com/germany/be/berlin/2021-12-17/visualisations/listings.csv
Munich,Germany,DEU,http://data.insideairbnb.com/germany/bv/munich/2021-12-24/visualisations/listings.csv